Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag
Democratic People's Republic of Korea,Tonnes - live weight,214320,E,208070,E,202000,E,205200,E,207700,E,208700,E,209000,E,220000,E,226000,E,209000,E,213500,E,219000,E,217500,E,207000,E,205000,E,205000,E,205000,E,205000,E,205000,E,205000,E,205000,E,206500,E,212850,E
Democratic Republic of the Congo,Tonnes - live weight,274385,E,261740,E,249275,E,262390,E,249895,E,238000,E,237372,A,230726,A,229612,A,227414,A,218000,A,221250,E,224491,E,228363,E,231447,E,234252,A,234562,E,234814,E,235752,E,234375,E,237690,E,231378,E,244619,E
Denmark,Number,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,3887,A,4149,A
Denmark,Tonnes - live weight,458193,A,466408.13,A,732900.394,A,638418,A,789182,A,904489,A,670223,A,868986,A,745343,A,668480,A,502790,A,716387,A,828089,A,777752,A,690584,A,653053,A,867721,A,910598,A,1090596,A,1031221,A,1442348,A,1510694,A,1534089,A
Djibouti,Tonnes - live weight,3120.5,A,3088.9,A,2322.5,A,2270.131,A,2102,A,2022,A,2220,A,2012,A,2298,A,1702,A,2167,A,1667,A,1590,A,1058,A,1206,A,1229,A,1299,A,1571,A,1200,E,1100,E,1000,E,900,E,800,E
Dominica,Tonnes - live weight,290,E,287.97,A,527,A,860.4,A,762,A,784,A,809,E,990,A,1029,A,527,A,625,A,662,A,700,E,772,A,699,A,677,A,694,A,579,A,700,E,950,E,1198,A,1200,E,1200,E
Dominican Republic,Tonnes - live weight,18010,E,17666.9,A,14064.13,A,16065.998,A,13920.445,A,15724.554,A,14640.693,A,11894.877,A,13783.527,A,13188.562,A,13662.824,A,14005,A,14490,A,14233,A,15382,A,13709,A,12956,A,11193,A,14223,A,18097,A,17261,A,13217,A,11015,A
Ecuador,Number,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Ecuador,Tonnes - live weight,688326.211,A,863105.52,A,636338.65,A,608160.186,A,597754,A,623124,A,709181,A,632571,A,656448,A,509031,A,501881,A,508793,A,399874,A,498679,A,505571,A,408926,A,469060,A,464387,A,356774,A,399526,A,319169,A,587770,A,596489,A
Egypt,Tonnes - live weight,440197,A,425770,A,418684,A,397043.34,A,373286,A,370959.67,A,335614.335,A,344113,A,344792.08,A,356858.086,A,354237.7,A,375355,A,385210,A,387399,A,373816,A,372492,A,375895,A,349554,A,393495,A,431124,A,425163,A,428634,A,384315,A
El Salvador,Tonnes - live weight,60114.992,E,59019.884,A,59674.408,A,51648.695,A,57131.441,A,59600.343,A,58558.09,A,54513,A,63296,A,52147,A,52060,E,54403,A,39583,A,48424,A,53287,A,54664,A,43218,A,41114,A,42415,A,35484,A,35943,A,19609,A,9590,A
Equatorial Guinea,Tonnes - live weight,6610.139,E,6307.128,E,5958.271,E,6417.721,E,6407.614,E,6377,E,6455.293,E,6423.256,E,6067.919,E,6926.149,E,7834,E,7115,A,7376,A,7669,A,5400,A,4533,E,4000,E,3750,E,3500,E,3550,E,3550,E,3600,E,3634,A
Eritrea,Tonnes - live weight,1590.564,A,1489.163,A,3740,E,5440.39,A,5648.242,A,3929.621,A,3306.124,A,6230.82,A,3695.716,A,3616.683,A,3924.352,A,2939,A,3586,A,3330,A,1965,A,2232,A,8813,A,4027,A,7404,A,6689,A,7852,A,8880,A,12712,A
Estonia,Tonnes - live weight,73938.728,A,72235.521,A,74142.479,A,86755,A,87051,A,82820,A,75656,A,73195,A,68883,A,69454,A,66613,A,81580,A,95731,A,98504,A,102580,A,99444,A,86884,A,99581,A,88625,A,80208,A,102365,A,105492,A,113347,A
Eswatini,Tonnes - live weight,65,E,65,E,60,E,65,E,65,E,65,E,65,E,65,E,65,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,50,E,50,E
Ethiopia,Number,,,,,,,,,,,,,,,,,,,,,0,A,0,A,0,A,0,A,492,A,540,A,727,A,347,A,446,A,900,A,220,A,42,A,44,A
